year,est,min,max,VE,outcome
2024,25894793.196652636,19220451.43747345,35228785.83991831,VE1,I_avd_
2025,36525364.37870547,27611739.245213427,48923398.212727636,VE1,I_avd_
2026,47348890.02882628,36334744.95176324,62673155.50454814,VE1,I_avd_
2027,58359457.41135916,45284913.6255953,76664848.57366711,VE1,I_avd_
2028,69557820.5352649,54440563.15103121,90828896.64826353,VE1,I_avd_
2029,80944070.51594052,63846515.137786366,105246093.386717,VE1,I_avd_
2030,92512024.0204837,73496635.06906259,119909258.04523611,VE1,I_avd_
2021,19471.219356234924,10951.930725169483,35797.67283135969,VE1,Ires_avd_
2022,58715.97060011576,34922.610984643106,102985.68599781988,VE1,Ires_avd_
2023,118059.36423334837,72854.02936251252,201772.5805814163,VE1,Ires_avd_
2024,197834.153736189,125267.44483937362,330883.6937930783,VE1,Ires_avd_
2025,278909.90792315284,179511.41474237916,461185.373842897,VE1,Ires_avd_
2026,361367.65200226963,234196.22040055183,591668.2885986302,VE1,Ires_avd_
2027,445186.1397815719,289932.01020419993,723684.8817378778,VE1,Ires_avd_
2028,530385.9706995883,346803.5821500153,859246.5029332063,VE1,Ires_avd_
2029,616978.9205269408,405529.9625445665,996740.4259282908,VE1,Ires_avd_
2030,704931.4591958749,464911.68816850876,1135146.2307758885,VE1,Ires_avd_
2021,6956.180622040271,4030.3110965036963,11339.147441526595,VE1,D_avd_
2022,20983.3243292975,13032.904273779244,32928.27109551577,VE1,D_avd_
2023,42205.59534690775,27357.26821234323,64415.85204106504,VE1,D_avd_
2024,70749.6302485607,47283.821948555444,105678.30084249913,VE1,D_avd_
2025,99787.24583240903,68293.00796787775,146769.1264895167,VE1,D_avd_
2026,129348.52661564822,90089.27091407272,188008.74094189052,VE1,D_avd_
2027,159416.94593225094,112546.20175751275,229909.15818043068,VE1,D_avd_
2028,189994.20714656744,135067.0999744566,272188.13685969485,VE1,D_avd_
2029,221080.32856506988,158253.11950038373,315449.4964141159,VE1,D_avd_
2030,252658.26144188098,181863.0759500052,359650.5824603738,VE1,D_avd_
2021,19471.219356234924,10951.930725169483,35797.67283135969,VE1,Ires2_avd_
2022,137037.6822946947,79343.65429018048,240600.00605382022,VE1,Ires2_avd_
2023,432653.7876678714,255711.83494919125,736214.0540399891,VE1,Ires2_avd_
2024,987579.7672333801,602799.6427769058,1628725.2828533128,VE1,Ires2_avd_
2025,1551343.4065049957,974859.4882176942,2494104.5490406994,VE1,Ires2_avd_
2026,2124401.1795058846,1363268.4468378252,3356504.516871086,VE1,Ires2_avd_
2027,2707057.339149627,1753244.8910194258,4235690.279756806,VE1,Ires2_avd_
2028,3299429.5391622307,2152723.369403773,5082517.438924228,VE1,Ires2_avd_
2029,3901561.834851774,2570125.364562768,5932183.83349033,VE1,Ires2_avd_
2030,4512829.982353248,2996712.514881439,6862479.180341013,VE1,Ires2_avd_
2021,5090811.703483879,3346171.0373143824,7598800.4060801715,VE2,I_avd_
2022,14085362.371378087,9715921.80956215,20153152.708339117,VE2,I_avd_
2023,25781002.29778623,18574309.55801295,35818524.10273187,VE2,I_avd_
2024,38954061.75612965,28880993.87591108,53086831.350141525,VE2,I_avd_
2025,52358807.06423119,39577616.6859404,70358793.91886799,VE2,I_avd_
2026,66010558.04589953,50773310.324837096,87664975.77468978,VE2,I_avd_
2027,79892472.1528682,62170297.1814177,105251870.85327289,VE2,I_avd_
2028,94005841.39136483,73793527.27683622,122780230.10811907,VE2,I_avd_
2029,108351579.99857979,85892395.58647619,140733033.72256693,VE2,I_avd_
2030,122929892.38513805,98137202.72086985,158928394.84997642,VE2,I_avd_
2021,38942.438712469855,21903.86145033897,71595.3456627194,VE2,Ires_avd_
2022,107696.33152211402,63939.40967200322,189020.9774009251,VE2,Ires_avd_
2023,197025.1334885214,122333.14105180389,336998.2608790022,VE2,Ires_avd_
2024,297545.0303775285,189819.89715365297,500819.16856820806,VE2,Ires_avd_
2025,399722.9523957758,258970.68475236895,665956.1171471124,VE2,Ires_avd_
2026,503673.70716240996,329159.72886829264,831687.0329511033,VE2,Ires_avd_
2027,609314.0246776751,400881.62154165003,998139.0722789507,VE2,Ires_avd_
2028,716670.2330409051,473829.7170913905,1169253.887304446,VE2,Ires_avd_
2029,825758.1843898725,549043.3872642408,1342300.933003471,VE2,Ires_avd_
2030,936579.5512055767,626011.0359911721,1515813.8525270792,VE2,Ires_avd_
2021,13912.361244080548,8060.622193007393,22678.29488305319,VE2,D_avd_
2022,38488.55834757487,23806.36455864863,60451.25577019371,VE2,D_avd_
2023,70441.43821814662,45253.84197878138,107278.69412369502,VE2,D_avd_
2024,106426.71034799863,70763.34954788713,158568.81695345463,VE2,D_avd_
2025,143039.9815508925,97752.18699063799,209398.02182582486,VE2,D_avd_
2026,180323.54482857377,125430.92215689983,260873.12957821199,VE2,D_avd_
2027,218230.8411771013,153919.00043666433,312902.18821398844,VE2,D_avd_
2028,256764.9783688599,181972.34905413535,365813.2796989144,VE2,D_avd_
2029,295928.22230660485,211081.54638561586,419658.0667299819,VE2,D_avd_
2030,335721.1295122069,240546.1447397318,474206.411453143,VE2,D_avd_
2021,19471.219356234924,21903.86145033897,71595.3456627194,VE2,Ires2_avd_
2022,137037.6822946947,131449.17617366993,393856.8982008988,VE2,Ires2_avd_
2023,432653.7876678714,354118.64111435856,1003113.6580075161,VE2,Ires2_avd_
2024,987579.7672333801,670943.1863829064,1793015.6216439842,VE2,Ires2_avd_
2025,1551343.4065049957,1011664.5211636918,2559595.802715325,VE2,Ires2_avd_
2026,2124401.1795058846,1369896.0197372532,3326220.514496849,VE2,Ires2_avd_
2027,2707057.339149627,1724565.0267750476,4105814.776433329,VE2,Ires2_avd_
2028,3299429.5391622307,2084999.4170556483,4861754.765594728,VE2,Ires2_avd_
2029,3901561.834851774,2461750.2620127164,5621249.269577103,VE2,Ires2_avd_
2030,4512829.982353248,2845071.9814361935,6455608.4183887085,VE2,Ires2_avd_
2021,2545405.8517419393,1673085.5186571914,3799400.2030400853,VE3,I_avd_
2022,7679032.648624528,5299085.083470106,10969913.23726924,VE3,I_avd_
2023,15446610.773984734,11168460.000931796,21452386.379776314,VE3,I_avd_
2024,25894793.196652636,19220451.43747345,35228785.83991831,VE3,I_avd_
2025,39217775.874843776,29685401.70703496,52567463.92542176,VE3,I_avd_
2026,55471284.63736804,42776639.49793386,73538388.27315883,VE3,I_avd_
2027,74697808.63192436,58502184.663853064,98094576.89410701,VE3,I_avd_
