country,GDPpercap,U5_mortality,trr,tfr,G,U,R,F,pred_trr,trr_lower,trr_upper,pred_tfr,tfr_lower,tfr_upper
Mauritania,1723.013865753646,70.71,0.1969999999999999,0.018,0.2989028363674054,0.27772121939534417,-0.37155178207291034,-0.1916259255243201,0.2676076377809651,0.21649535834684278,0.317778278078701,0.02142972723171395,0.016988273149920602,0.02607353813298294
Mozambique,500.444808525879,70.55,0.327,0.01525,-1.19156881041391,0.2710447031203945,0.3693277534484547,-0.34953888680761386,0.3184861135858504,0.2539368410210247,0.38625589161266805,0.022399154560597268,0.015963269835062292,0.028781522707704947
Namibia,4729.270937352574,40.16,0.084,,1.516150437115406,-0.9970761068528793,-1.0155470706414802,,0.13185729741228175,0.031956270923454766,0.22669970326031308,0.014105645729813196,0.0031389382106512854,0.025262276151346477
Niger,594.9251088712584,77.52,0.192,0.0212,-0.9830816904897564,0.5618904433478942,-0.40004714882373144,-0.007872661485578067,0.3254811822234734,0.2598876290616834,0.38758121954652525,0.02084786147414365,0.014428704283554,0.02640827351533495
Nigeria,2085.0307647793584,113.8,0.435,0.0124761904761904,0.5288132064211059,2.075790508692757,0.9848276752662034,-0.5088190598769147,0.37447639175540937,0.23977682529427027,0.5061209537902563,0.02342943141754993,0.008725157108506186,0.03744232196860643
Rwanda,833.829875672994,40.47,0.196,0.0316363636363636,-0.5760925547709983,-0.984140356570164,-0.377250855423074,0.5914135519134988,0.23105159232372294,0.15747864570468456,0.310722360536759,0.026059474122835807,0.018477465259196184,0.03313235076985855
Sao Tome and Principe,2449.333442436266,16.14,0.0139999999999999,0.0,0.7229470711962048,-1.9993881126297148,-1.4144822051529848,-1.2252380357422434,0.10328573835426748,-0.009726417759193473,0.21838229124429506,0.01667885233178147,0.004156483082122256,0.02887650110046781
Senegal,1606.4720608731118,38.08,0.047,0.0045217391304347,0.21447215718717902,-1.0838708184272263,-1.226412784597561,-0.9655866843831564,0.18787853298866128,0.12457074104307062,0.25453284364203876,0.021574569305851155,0.01564193826713478,0.027958454971254675
Sierra Leone,515.9320918341255,107.8,0.57,0.002875,-1.154826002811837,1.82542114838214,1.7542025775383892,-1.0601472125824363,0.39028002451444316,0.253856273749746,0.5169088806758848,0.013740868182004888,0.0003591728864228219,0.02667835626639349
South Africa,6994.211653556747,32.22,0.005,,1.9878997375923118,-1.328398226997262,-1.4657738653044632,,0.0836671253489242,-0.05858411418420362,0.22851284878398317,0.009068710636225719,-0.007031652073811508,0.026272633535334135
South Sudan,1119.651437,97.86,0.319,,-0.2207622760209233,1.410642574800885,0.3237351666471399,,0.34927969698807226,0.27987211268152634,0.42550498006545845,0.019701873535089346,0.012522630906013245,0.026490532080313937
Togo,992.3284293624909,64.38,0.311,0.0158333333333333,-0.36629556575923605,0.013581544267643561,0.27814257984582513,-0.31604219805055345,0.27595726015601996,0.2306615583121779,0.3212789854612399,0.022477995856763966,0.018784505315358573,0.02598375914642565
Uganda,858.0575127283598,43.32,0.715,0.0199047619047619,-0.5415632718294522,-0.865214910422621,2.580568213312219,-0.0822489826441167,0.23574880483958335,0.1649607010627806,0.3066197370595188,0.02549494417037308,0.018673531522750406,0.03200315794470556
United Republic of Tanzania,1135.53967285156,48.87,0.362,0.0200645161290322,-0.20377523332395803,-0.6336232521353006,0.5687953207042065,-0.07307543259610279,0.2333757273068786,0.17791858818899753,0.28790212606296484,0.023332935423523004,0.018504483389317528,0.028190161200319065
Zambia,1120.6301705247697,61.38,0.349,0.0,-0.21970890796371362,-0.1116031358876645,0.49470736715207,-1.2252380357422434,0.2634821211113437,0.2180317966424138,0.3080684147958931,0.022457512270439423,0.01876887833547293,0.02591398697102694
Zimbabwe,1737.173976980425,53.89,0.01,0.024,0.30876989431765345,-0.42414755400875115,-1.4372784985536415,0.15291144454832115,0.224014117265906,0.17612809446600453,0.2722585950205008,0.021205804722640758,0.017145605449851928,0.025496653528154584
