country,GDPpercap,U5_mortality,trr,tfr,pcr,G,U,R,F,pred_trr,trr_lower,trr_upper,pred_tfr,tfr_lower,tfr_upper
Madagascar,514.9058617524541,50.24,0.1009999999999999,0.0076923076923076,0.0,-1.1956728728033459,-0.3883384542671337,-0.9186628236886866,-0.7835234587260422,0.27679207499967495,0.1912251193121305,0.35319659661008906,0.026969567668588,0.019326654902031924,0.03516130489848726
Mali,917.9130632505572,90.99,0.187,0.0085666666666666,0.0014666666666666,-0.560096521649628,1.1424836437346115,-0.42854251557455275,-0.7333152351385319,0.33921310063149723,0.27330644628677037,0.3987086418294677,0.019592684111495957,0.013553749192707382,0.025692499062704197
Mozambique,500.444808525879,70.55,0.327,0.01525,0.0018333333333333,-1.2269908728737313,0.3746307926142269,0.3693277534484549,-0.34953888680761386,0.31806195209258625,0.25282203180245716,0.3864249780925382,0.02238906000687275,0.015968408815063215,0.028470000540798145
Mauritania,1723.013865753646,70.71,0.1969999999999999,0.018,0.0,0.13221812707368544,0.3806413824468717,-0.37155178207290995,-0.1916259255243201,0.26803874931469046,0.21670780151297814,0.31944745166497707,0.02141338075358793,0.016883652644174234,0.02601108176008989
Mauritius,8812.10824897507,16.52,,,,1.9264753658746772,-1.6550702614970443,,,0.022560435543287315,-0.19448151620362653,0.24743047392561116,0.002298799329779435,-0.0219884242028552,0.029318692236685893
Malawi,642.6569157827774,38.58,0.294,0.0343333333333333,0.0046,-0.952019005580388,-0.8263601883211302,0.18125833289303153,0.7462813596734234,0.24141030115178633,0.14966694409016648,0.3320723442098442,0.0280485185648207,0.019124187022331898,0.037266735400400305
Namibia,4729.270937352574,40.16,0.084,,,1.2422653377495638,-0.767005613723762,-1.0155470706414798,,0.134897203529468,0.04063900594718886,0.23217193299869998,0.014295164778928228,0.003274535727316768,0.025142493876516313
Niger,594.9251088712584,77.52,0.192,0.0212,0.0,-1.0368647672306068,0.6364671121988199,-0.40004714882373105,-0.007872661485578067,0.32524327473824916,0.26225487545369075,0.38807029732572607,0.020869985948862756,0.014814566692151329,0.026727250488449046
Nigeria,2085.0307647793584,113.8,0.435,0.0124761904761904,0.0113333333333333,0.3418807830746021,1.999368356751049,0.9848276752662036,-0.5088190598769147,0.3735685418455022,0.23287903697524265,0.5036061538215993,0.02331208596448425,0.009129688920666167,0.03787115434047191
Rwanda,833.829875672994,40.47,0.196,0.0316363636363636,0.031090909090909,-0.6657182933313146,-0.7553600959230125,-0.3772508554230737,0.5914135519134988,0.23105058838715997,0.15751572624231594,0.3082577364376777,0.025961365545331176,0.018887479618141273,0.03331409332638499
Senegal,1606.4720608731118,38.08,0.047,0.0045217391304347,0.0004782608695652,0.05522307704287174,-0.8451432815481456,-1.2264127845975605,-0.9655866843831564,0.1890791190977679,0.1253381319416512,0.24995407870999625,0.0215863618443755,0.015574964628838436,0.027717348221650045
Sierra Leone,515.9320918341255,107.8,0.57,0.002875,0.0,-1.1934839256708627,1.7739712380268655,1.7542025775383894,-1.0601472125824363,0.3904142712275383,0.26468273766815353,0.5239354866919641,0.013937221942644474,0.0005719930984033859,0.027337197546256787
South Sudan,1119.651437,97.86,0.319,,,-0.3416811914690286,1.4005633446738017,0.3237351666471402,,0.3490737690591833,0.27396627914445054,0.41760864101586964,0.01972014728194037,0.012514317677343633,0.026731427061819878
Sao Tome and Principe,2449.333442436266,16.14,0.0139999999999999,0.0,0.0096666666666666,0.5189176940193458,-1.6693454123495761,-1.4144822051529842,-1.2252380357422434,0.10612723133285365,-0.0023348043794979567,0.21836094682988616,0.016836459277670298,0.0045925576186424365,0.029266314586335117
Eswatini,4214.861687815531,46.64,0.017,,,1.1156661644130952,-0.5235767255016438,-1.3973849851024904,,0.16040377842392733,0.08113633645055102,0.2408111193327638,0.016273012417255595,0.007454364333972768,0.025026727206017778
Seychelles,13306.725600683769,13.94,,,,2.379580092606241,-1.7519910225484434,,,-0.013692507728587067,-0.2937556415124013,0.2612886170442922,-0.0034500930892110084,-0.03405487804351756,0.030144483436831543
Chad,696.4227755321263,110.0,0.2689999999999999,0.0045,0.0,-0.8636877298653213,1.8566168482257328,0.03878149913892259,-0.9668350081877626,0.3880626456073013,0.27914553891541316,0.4963225300701726,0.015521402700532264,0.00473212825266767,0.026887756477198543
Togo,992.3284293624909,64.38,0.311,0.0158333333333333,0.0165,-0.47439767596669896,0.14284742219285826,0.2781425798458254,-0.31604219805055345,0.2760604064220771,0.23269361283078374,0.3220667120413678,0.022453055661986285,0.0188077134981664,0.025968247123267004
United Republic of Tanzania,1135.53967285156,48.87,0.362,0.0200645161290322,0.0073793103448275,-0.3261901612531456,-0.4398041297091557,0.5687953207042067,-0.07307543259610279,0.23380318737029177,0.1769682094067985,0.2842241001430602,0.023294899850125658,0.01874648767031622,0.02819214496132658
Uganda,858.0575127283598,43.32,0.715,0.0199047619047619,0.0077368421052631,-0.6342299304112743,-0.6482964645290252,2.5805682133122185,-0.0822489826441167,0.23578837025316465,0.16325235314389291,0.30238125082803197,0.025409189591913465,0.018720144693883955,0.03186514808554783
South Africa,6994.211653556747,32.22,0.005,,,1.672468687348194,-1.0652811341687647,-1.4657738653044627,,0.08799754919068399,-0.053256589304791824,0.22937023310442128,0.009395803972329253,-0.006238670421068147,0.026789993892309273
Zambia,1120.6301705247697,61.38,0.349,0.0,0.0041428571428571,-0.34072059128135757,0.03014886283076683,0.4947073671520702,-1.2252380357422434,0.2637335229075448,0.22095069763923106,0.3083389335064639,0.02243266696572718,0.019087509409347937,0.026142677491081793
Zimbabwe,1737.173976980425,53.89,0.01,0.024,,0.1412162143556152,-0.25122187370992216,-1.4372784985536409,0.15291144454832115,0.2249181576943753,0.1771206557423857,0.2713534589208429,0.02121111535153378,0.01709177117370094,0.025441903731268686
